epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,249.379,1.00162,1.0388,1.04259,1.1342,0.41358,0.33935,0.32525,0.17421,0.45249,0.33935,0.32872,0.13209,1.63118,1.47324,2.07517,1.55116,0.0012872,0.0012872,0.0012872
38,256.099,1.01187,1.05229,1.02958,1.1108,0.44031,0.35097,0.32303,0.17493,0.45908,0.35742,0.3344,0.1346,1.59683,1.50821,2.00495,1.52133,0.0012674,0.0012674,0.0012674
39,262.687,1.00975,1.03953,0.97445,1.09562,0.44894,0.37677,0.30028,0.15693,0.43054,0.38323,0.28892,0.1038,1.68732,1.64389,1.97675,1.58986,0.0012476,0.0012476,0.0012476
40,268.998,0.97228,1.03905,0.93852,1.0676,0.51025,0.37935,0.34735,0.18884,0.54875,0.39226,0.36393,0.13674,1.60899,1.51827,1.9093,1.53316,0.0012278,0.0012278,0.0012278
41,275.657,0.9325,0.9694,0.89946,1.07947,0.49067,0.35054,0.30835,0.164,0.49022,0.39226,0.32388,0.12506,1.64042,1.42148,1.96831,1.57514,0.001208,0.001208,0.001208
42,281.826,0.95286,0.95727,0.93758,1.09499,0.50955,0.34194,0.32898,0.18071,0.53972,0.35226,0.33848,0.13812,1.60923,1.47025,1.90947,1.56358,0.0011882,0.0011882,0.0011882
43,287.83,0.9706,1.02152,0.95067,1.09463,0.4872,0.34839,0.31088,0.16379,0.50646,0.36516,0.32682,0.12733,1.61998,1.44165,1.97931,1.54603,0.0011684,0.0011684,0.0011684
44,293.859,0.93251,1.01663,0.9054,1.07207,0.48224,0.36258,0.31345,0.16063,0.50728,0.36,0.31177,0.10985,1.64444,1.6339,1.98567,1.57574,0.0011486,0.0011486,0.0011486
45,299.83,0.92853,1.01403,0.88142,1.07108,0.46475,0.40387,0.34829,0.17467,0.46729,0.40258,0.34011,0.13112,1.64943,1.54957,1.89328,1.60281,0.0011288,0.0011288,0.0011288
46,305.84,0.89613,0.99448,0.85537,1.06253,0.47323,0.36258,0.32405,0.17538,0.50695,0.36129,0.32153,0.12333,1.62069,1.53469,1.97463,1.54361,0.001109,0.001109,0.001109
47,311.862,0.89331,1.00362,0.83875,1.04045,0.46539,0.38839,0.32961,0.17563,0.47276,0.40387,0.33564,0.12627,1.64734,1.44339,1.9012,1.55222,0.0010892,0.0010892,0.0010892
48,318.421,0.93353,1.00603,0.84995,1.04787,0.52394,0.38065,0.36157,0.19839,0.54281,0.38581,0.36736,0.1456,1.54461,1.36916,1.80683,1.49129,0.0010694,0.0010694,0.0010694
49,324.535,0.91217,1.00352,0.87297,1.0679,0.55311,0.33857,0.35902,0.20329,0.56154,0.34373,0.35135,0.1471,1.56195,1.49753,1.86979,1.54335,0.0010496,0.0010496,0.0010496
50,330.774,0.91599,1.01123,0.85201,1.05159,0.49734,0.39742,0.36243,0.18691,0.47298,0.37677,0.33901,0.11796,1.64362,1.55283,1.82284,1.58049,0.0010298,0.0010298,0.0010298
51,336.911,0.8927,0.94696,0.83415,1.03874,0.59595,0.33806,0.35142,0.20316,0.61336,0.34389,0.35764,0.14584,1.5444,1.39533,1.89626,1.49304,0.00101,0.00101,0.00101
52,343.023,0.85488,0.96691,0.80283,1.0265,0.50339,0.37935,0.33202,0.18151,0.51636,0.38323,0.34581,0.12927,1.58123,1.49607,1.83782,1.5048,0.0009902,0.0009902,0.0009902
53,349.121,0.84279,0.95402,0.78017,1.02575,0.45947,0.38581,0.31316,0.17555,0.51701,0.3729,0.32618,0.13005,1.56331,1.41569,1.91588,1.51036,0.0009704,0.0009704,0.0009704
54,355.204,0.8509,0.98598,0.81817,1.03253,0.50111,0.37032,0.33723,0.18536,0.49413,0.36516,0.32535,0.12326,1.58606,1.49819,1.93659,1.52188,0.0009506,0.0009506,0.0009506
55,361.278,0.8845,0.95701,0.81203,1.05237,0.57681,0.3447,0.3695,0.20861,0.57657,0.34261,0.35362,0.13206,1.54429,1.54434,1.8563,1.48943,0.0009308,0.0009308,0.0009308
56,367.362,0.84544,0.95451,0.765,1.01793,0.4832,0.40387,0.33754,0.18617,0.48473,0.40664,0.33041,0.11954,1.61013,1.46632,1.87007,1.54219,0.000911,0.000911,0.000911
57,374.109,0.81095,0.94267,0.73851,1.01249,0.50637,0.38782,0.35675,0.20603,0.51985,0.39814,0.36486,0.14789,1.56255,1.40279,1.88247,1.51032,0.0008912,0.0008912,0.0008912
58,380.865,0.83993,0.93081,0.75229,1.01694,0.52508,0.37161,0.34841,0.19147,0.54142,0.37935,0.35383,0.1374,1.55656,1.50212,1.86374,1.51129,0.0008714,0.0008714,0.0008714
59,387.893,0.80655,0.97347,0.71753,1.00218,0.53953,0.35613,0.3375,0.1875,0.55908,0.36903,0.34886,0.14293,1.5619,1.37249,1.88894,1.52857,0.0008516,0.0008516,0.0008516
60,394.627,0.86271,0.98958,0.74954,1.02735,0.44332,0.38328,0.31062,0.16724,0.45572,0.39742,0.31948,0.12127,1.61724,1.49816,1.90661,1.55611,0.0008318,0.0008318,0.0008318
61,401.33,0.82906,0.99371,0.73541,1.01348,0.47057,0.38581,0.33919,0.18858,0.49615,0.38581,0.34463,0.13585,1.56499,1.41582,1.87932,1.52743,0.000812,0.000812,0.000812
62,407.737,0.80278,0.99359,0.75083,1.01921,0.4721,0.38968,0.36841,0.21662,0.50634,0.40233,0.38842,0.15685,1.53345,1.38595,1.80602,1.48089,0.0007922,0.0007922,0.0007922
63,414.295,0.81787,0.94355,0.73656,1.01543,0.45396,0.4248,0.37644,0.21643,0.5217,0.38452,0.38719,0.15828,1.52345,1.40256,1.81504,1.47922,0.0007724,0.0007724,0.0007724
64,420.782,0.81427,0.97236,0.72196,1.00622,0.53657,0.36645,0.34599,0.19199,0.52145,0.35613,0.33929,0.13106,1.59356,1.49893,1.88781,1.53535,0.0007526,0.0007526,0.0007526
65,427.158,0.78341,0.96381,0.70547,0.99638,0.53946,0.34915,0.34871,0.19863,0.56588,0.34984,0.35394,0.14097,1.5593,1.39631,1.91936,1.51357,0.0007328,0.0007328,0.0007328
66,433.859,0.81532,0.95952,0.72787,1.01899,0.50599,0.36774,0.353,0.20498,0.57272,0.34839,0.34912,0.13404,1.56906,1.50526,1.90707,1.50718,0.000713,0.000713,0.000713
67,440.508,0.77236,0.90848,0.71288,1.00779,0.4577,0.39355,0.35937,0.20709,0.51926,0.37419,0.3658,0.15222,1.54599,1.46437,1.9218,1.48596,0.0006932,0.0006932,0.0006932
68,447.272,0.82339,0.95956,0.71668,1.00954,0.49739,0.36387,0.34613,0.1934,0.50444,0.36903,0.34769,0.13742,1.5906,1.46531,1.89411,1.5223,0.0006734,0.0006734,0.0006734
69,453.703,0.77972,0.94954,0.67718,0.98019,0.58174,0.35176,0.35629,0.20414,0.59331,0.3729,0.37093,0.15474,1.53381,1.39643,1.92008,1.51057,0.0006536,0.0006536,0.0006536
70,460.401,0.79056,0.94004,0.68592,0.99057,0.58122,0.36387,0.34679,0.19131,0.59982,0.36129,0.3472,0.13128,1.57564,1.52195,1.9722,1.54281,0.0006338,0.0006338,0.0006338
71,467.177,0.71972,0.93563,0.63766,0.97453,0.52621,0.37677,0.35361,0.19997,0.52865,0.37419,0.35193,0.13911,1.54102,1.47382,1.8496,1.4955,0.000614,0.000614,0.000614
72,473.716,0.76018,0.92071,0.65733,0.98289,0.50033,0.4,0.35716,0.20202,0.52876,0.3729,0.35997,0.13605,1.52628,1.60433,1.81838,1.50116,0.0005942,0.0005942,0.0005942
73,480.343,0.75506,0.94115,0.65975,0.98721,0.58652,0.35484,0.36413,0.20953,0.59801,0.36258,0.36857,0.14858,1.5199,1.45758,1.86115,1.47931,0.0005744,0.0005744,0.0005744
74,487.214,0.75221,0.94737,0.66321,0.97822,0.60683,0.34839,0.36673,0.21495,0.61478,0.36129,0.37185,0.14789,1.51461,1.48148,1.84169,1.48285,0.0005546,0.0005546,0.0005546
75,494.175,0.75176,0.91991,0.66749,0.98328,0.60249,0.36903,0.38617,0.22804,0.55158,0.39742,0.39023,0.16474,1.47935,1.4359,1.85693,1.456,0.0005348,0.0005348,0.0005348
76,501.243,0.75419,0.93811,0.65525,0.98849,0.52165,0.41419,0.39191,0.23158,0.54133,0.40516,0.39989,0.16518,1.46371,1.45595,1.82628,1.44279,0.000515,0.000515,0.000515
77,508.153,0.72001,0.88439,0.6295,0.97416,0.53121,0.39917,0.37869,0.22583,0.55913,0.40387,0.38836,0.16081,1.4712,1.44546,1.8636,1.4508,0.0004952,0.0004952,0.0004952
78,514.783,0.70164,0.9003,0.62377,0.96964,0.47063,0.41935,0.3788,0.22246,0.55588,0.38115,0.38416,0.15731,1.4911,1.49663,1.90952,1.46447,0.0004754,0.0004754,0.0004754
79,521.394,0.73027,0.88972,0.61286,0.98487,0.52713,0.36903,0.36985,0.21656,0.57863,0.36323,0.3685,0.14433,1.48755,1.56915,1.89894,1.46103,0.0004556,0.0004556,0.0004556
80,527.934,0.73357,0.89613,0.61101,0.96851,0.55849,0.35419,0.36576,0.21011,0.57168,0.36166,0.36826,0.14788,1.51588,1.52649,1.92288,1.48611,0.0004358,0.0004358,0.0004358
81,534.5,0.73457,0.898,0.62987,0.97378,0.55684,0.3794,0.37481,0.2144,0.58012,0.3729,0.37091,0.14653,1.51598,1.50251,1.86347,1.50269,0.000416,0.000416,0.000416
82,540.924,0.71588,0.89396,0.60739,0.95054,0.53337,0.39378,0.38244,0.22411,0.54796,0.40258,0.38722,0.14986,1.51514,1.52557,1.83761,1.48357,0.0003962,0.0003962,0.0003962
83,547.261,0.66957,0.8835,0.59084,0.9581,0.55935,0.38968,0.38943,0.23009,0.57416,0.38452,0.3865,0.1524,1.48903,1.50954,1.82639,1.45339,0.0003764,0.0003764,0.0003764
84,553.653,0.7095,0.90218,0.59559,0.96646,0.51861,0.41677,0.38738,0.2289,0.52342,0.42065,0.39083,0.15312,1.4974,1.51453,1.85748,1.4719,0.0003566,0.0003566,0.0003566
85,560.212,0.70134,0.88208,0.61089,0.97461,0.5297,0.3953,0.38078,0.21767,0.52798,0.39401,0.37321,0.1438,1.51906,1.55514,1.81834,1.49732,0.0003368,0.0003368,0.0003368
86,566.728,0.69007,0.85752,0.58496,0.95089,0.52928,0.39173,0.37084,0.21195,0.53009,0.40129,0.36875,0.14746,1.50154,1.48108,1.84512,1.47987,0.000317,0.000317,0.000317
87,573.246,0.69332,0.85371,0.58369,0.95725,0.5112,0.4,0.36772,0.2167,0.51539,0.41032,0.37162,0.15027,1.49187,1.45981,1.85654,1.48161,0.0002972,0.0002972,0.0002972
88,579.661,0.67256,0.87652,0.57894,0.955,0.50742,0.40408,0.36984,0.22385,0.5525,0.38712,0.37719,0.15127,1.46968,1.47691,1.87334,1.47003,0.0002774,0.0002774,0.0002774
89,585.886,0.68448,0.8518,0.60303,0.97223,0.54346,0.38194,0.3759,0.22694,0.54346,0.38194,0.37833,0.1525,1.47617,1.47131,1.90049,1.47237,0.0002576,0.0002576,0.0002576
90,592.127,0.66629,0.85677,0.56192,0.95998,0.57355,0.37658,0.38478,0.23307,0.58651,0.38452,0.39331,0.16276,1.465,1.4438,1.90832,1.47327,0.0002378,0.0002378,0.0002378
91,629.914,0.73154,0.83929,0.67447,0.99637,0.58064,0.3729,0.38428,0.23066,0.59106,0.39097,0.40156,0.16342,1.46677,1.46388,1.95594,1.476,0.000218,0.000218,0.000218
92,636.191,0.67192,0.82735,0.5697,0.96494,0.56429,0.38603,0.38815,0.23739,0.57715,0.39742,0.40592,0.16044,1.47472,1.54611,1.943,1.45918,0.0001982,0.0001982,0.0001982
93,642.213,0.66341,0.78281,0.57365,0.95711,0.58857,0.37806,0.38776,0.23605,0.60349,0.3871,0.4003,0.16609,1.46576,1.51184,1.90372,1.4536,0.0001784,0.0001784,0.0001784
94,648.035,0.67295,0.772,0.55562,0.96521,0.54835,0.39478,0.38167,0.22946,0.52764,0.41655,0.3929,0.16331,1.46363,1.47996,1.89633,1.4658,0.0001586,0.0001586,0.0001586
95,654.274,0.66405,0.788,0.5638,0.97674,0.59712,0.3729,0.37385,0.22111,0.62493,0.38452,0.39133,0.1579,1.4801,1.47384,1.91513,1.48718,0.0001388,0.0001388,0.0001388
96,660.737,0.64748,0.80712,0.57076,0.93861,0.56744,0.3944,0.38323,0.22759,0.56298,0.40387,0.39261,0.15766,1.47628,1.49721,1.83683,1.48687,0.000119,0.000119,0.000119
97,666.803,0.62309,0.7771,0.51507,0.92774,0.55837,0.39484,0.38543,0.22749,0.55972,0.40516,0.39323,0.15898,1.47942,1.52196,1.83525,1.49178,9.92e-05,9.92e-05,9.92e-05
98,673.241,0.64962,0.79002,0.54572,0.95473,0.58858,0.38452,0.38427,0.22779,0.55942,0.40516,0.39004,0.15897,1.47392,1.51432,1.86622,1.48875,7.94e-05,7.94e-05,7.94e-05
99,679.936,0.62095,0.74344,0.52294,0.95937,0.57704,0.39871,0.38948,0.23108,0.59291,0.40258,0.39912,0.16145,1.47735,1.51204,1.86531,1.49257,5.96e-05,5.96e-05,5.96e-05
100,686.126,0.61772,0.76621,0.51885,0.93249,0.5602,0.4,0.39177,0.2323,0.58861,0.40129,0.40245,0.16086,1.4693,1.51324,1.85912,1.48255,3.98e-05,3.98e-05,3.98e-05
