epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3726,1.67594,3.0971,2.82614,1.5924,0.00609,0.55871,0.08437,0.03505,0.00551,0.50581,0.06353,0.01855,1.80692,2.43019,3.10106,1.71404,0.00036,0.00036,0.00036
2,17.6998,1.45775,1.46671,2.06731,1.36261,0.31794,0.08258,0.08964,0.03575,0.308,0.08,0.08921,0.02673,1.81521,2.34026,3.00895,1.77856,0.000732674,0.000732674,0.000732674
3,25.0956,1.48477,1.36671,1.99351,1.38874,0.18401,0.18968,0.0683,0.02623,0.22118,0.20516,0.08483,0.02659,1.97425,2.14057,3.02003,1.98453,0.00109782,0.00109782,0.00109782
4,32.3891,1.46221,1.29728,1.90163,1.36375,0.11645,0.14194,0.04453,0.01546,0.14412,0.15426,0.05667,0.01466,2.05904,1.78455,3.50078,2.49974,0.00145545,0.00145545,0.00145545
5,39.325,1.49555,1.29959,1.87256,1.37706,0.0497,0.12774,0.02393,0.00741,0.07028,0.12129,0.02945,0.00689,2.51966,1.95578,7.99995,3.81719,0.00180555,0.00180555,0.00180555
6,45.7185,1.49791,1.28128,1.8507,1.37753,0.18557,0.16903,0.08906,0.03124,0.17445,0.17935,0.08109,0.02264,2.0746,1.77623,4.28691,2.31408,0.001901,0.001901,0.001901
7,52.6619,1.46327,1.24175,1.72817,1.37321,0.17515,0.15613,0.08115,0.03207,0.22365,0.18194,0.09318,0.02762,2.05105,1.94347,2.88614,2.10602,0.0018812,0.0018812,0.0018812
8,59.3094,1.3988,1.21728,1.66486,1.34124,0.25887,0.26194,0.15575,0.05636,0.28181,0.2671,0.15643,0.04833,1.99521,1.75392,2.52893,2.00674,0.0018614,0.0018614,0.0018614
9,65.4609,1.439,1.27277,1.65172,1.34749,0.21319,0.29806,0.14979,0.0579,0.23933,0.31871,0.16159,0.05318,1.95619,1.56488,2.54134,1.89725,0.0018416,0.0018416,0.0018416
10,72.5587,1.40987,1.18053,1.6214,1.32355,0.21674,0.27226,0.12406,0.04754,0.23785,0.28774,0.13349,0.0417,2.09644,1.55564,2.9257,1.90007,0.0018218,0.0018218,0.0018218
11,79.8241,1.34564,1.24229,1.57641,1.29688,0.24894,0.29677,0.16885,0.07055,0.25836,0.27959,0.1639,0.05471,1.87342,1.71906,2.48473,1.79419,0.001802,0.001802,0.001802
12,86.7866,1.33848,1.21213,1.49831,1.29327,0.25196,0.32258,0.16683,0.0692,0.30029,0.32007,0.18847,0.05906,1.90424,1.5613,2.34991,1.79532,0.0017822,0.0017822,0.0017822
13,93.1945,1.31372,1.18938,1.44743,1.26534,0.35774,0.31742,0.23228,0.10366,0.37111,0.32387,0.24268,0.0802,1.81532,1.57647,2.16458,1.73338,0.0017624,0.0017624,0.0017624
14,99.8124,1.27897,1.13884,1.47149,1.27617,0.37349,0.29419,0.25093,0.11676,0.37376,0.33677,0.25144,0.0913,1.79402,1.5255,2.11986,1.66737,0.0017426,0.0017426,0.0017426
15,106.236,1.26498,1.1146,1.41685,1.2629,0.31396,0.30968,0.19729,0.09035,0.32916,0.32516,0.22357,0.0782,1.79371,1.49655,2.25012,1.69459,0.0017228,0.0017228,0.0017228
16,112.603,1.22934,1.11532,1.36554,1.2483,0.31574,0.30452,0.19923,0.08736,0.31657,0.30839,0.20514,0.07052,1.87568,1.48407,2.31222,1.78247,0.001703,0.001703,0.001703
17,118.75,1.27667,1.1117,1.37851,1.26155,0.34326,0.31742,0.2311,0.09492,0.39573,0.27226,0.21288,0.07122,1.79724,1.62769,2.27155,1.7342,0.0016832,0.0016832,0.0016832
18,124.999,1.20577,1.21674,1.35052,1.23479,0.26206,0.3478,0.20877,0.09044,0.27273,0.32645,0.20466,0.06279,1.8194,1.60669,2.2536,1.70375,0.0016634,0.0016634,0.0016634
19,131.869,1.2247,1.19294,1.31939,1.23086,0.43135,0.29419,0.25753,0.11128,0.37266,0.33548,0.25563,0.08964,1.80398,1.49856,2.11842,1.69776,0.0016436,0.0016436,0.0016436
20,138.916,1.17467,1.14543,1.26557,1.20056,0.43417,0.31484,0.27413,0.12227,0.46863,0.29935,0.28143,0.10247,1.83394,1.48166,2.14669,1.73071,0.0016238,0.0016238,0.0016238
21,145.853,1.17322,1.10862,1.26256,1.1995,0.41266,0.31871,0.27017,0.12505,0.42667,0.34452,0.30013,0.10489,1.78818,1.45776,2.04553,1.63807,0.001604,0.001604,0.001604
22,152.879,1.19101,1.08891,1.2463,1.19173,0.38709,0.36645,0.27606,0.13764,0.43344,0.35484,0.28033,0.10123,1.68724,1.51629,1.99589,1.52498,0.0015842,0.0015842,0.0015842
23,159.594,1.15319,1.13463,1.20932,1.2004,0.42662,0.36645,0.3201,0.15071,0.43878,0.35484,0.30202,0.10298,1.74217,1.54405,1.94181,1.60505,0.0015644,0.0015644,0.0015644
24,166.197,1.09693,1.07481,1.1624,1.17679,0.47287,0.32,0.29898,0.15188,0.47438,0.32,0.29949,0.10465,1.63413,1.55023,1.94729,1.53924,0.0015446,0.0015446,0.0015446
25,172.617,1.1005,1.08538,1.23231,1.17512,0.39783,0.35871,0.29953,0.15654,0.39926,0.36,0.29986,0.11327,1.65012,1.43634,1.9324,1.54507,0.0015248,0.0015248,0.0015248
26,179.065,1.11935,1.09205,1.1598,1.16247,0.46546,0.32387,0.2931,0.15024,0.48816,0.33548,0.30645,0.11968,1.642,1.51426,2.07483,1.56577,0.001505,0.001505,0.001505
27,185.571,1.13911,1.09901,1.18645,1.17999,0.39835,0.33161,0.30608,0.15333,0.43228,0.34581,0.30893,0.11687,1.72437,1.49241,1.97335,1.60735,0.0014852,0.0014852,0.0014852
28,191.968,1.11153,1.04613,1.09569,1.14491,0.39077,0.3385,0.26454,0.11639,0.41465,0.33677,0.26251,0.08601,1.92034,1.57767,2.08247,1.76468,0.0014654,0.0014654,0.0014654
29,198.62,1.06959,1.03151,1.09866,1.15241,0.42211,0.35871,0.29501,0.14272,0.42252,0.36,0.29595,0.11326,1.75583,1.41369,1.99972,1.65988,0.0014456,0.0014456,0.0014456
30,205.493,1.04404,1.03137,1.08729,1.13811,0.41388,0.36645,0.31447,0.16079,0.48715,0.34968,0.32113,0.12761,1.65346,1.40471,1.97153,1.57013,0.0014258,0.0014258,0.0014258
31,211.88,1.05891,1.07953,1.05808,1.11654,0.44074,0.38323,0.32572,0.15209,0.47475,0.35571,0.31634,0.11318,1.71303,1.47792,1.98539,1.6163,0.001406,0.001406,0.001406
32,218.482,1.04714,1.04769,1.04474,1.13929,0.4705,0.35429,0.32881,0.16556,0.46891,0.35355,0.30577,0.11511,1.68961,1.55653,1.9463,1.57814,0.0013862,0.0013862,0.0013862
33,224.718,1.0411,1.07548,1.03213,1.12914,0.49168,0.36903,0.34677,0.18597,0.48136,0.36129,0.32436,0.12023,1.6479,1.60657,1.88164,1.54717,0.0013664,0.0013664,0.0013664
34,230.969,1.0119,1.08893,1.01593,1.11227,0.51869,0.33419,0.32153,0.17188,0.53701,0.34722,0.33449,0.13182,1.59915,1.39328,1.90032,1.52497,0.0013466,0.0013466,0.0013466
35,237.118,0.9753,1.02829,0.96043,1.08468,0.45866,0.38194,0.32758,0.18098,0.48852,0.38194,0.33589,0.13223,1.61368,1.49372,1.92153,1.51968,0.0013268,0.0013268,0.0013268
36,243.244,1,1.00366,0.96324,1.10247,0.45849,0.37801,0.33094,0.18247,0.4661,0.39088,0.3404,0.13669,1.5641,1.47689,1.94127,1.48948,0.001307,0.001307,0.001307
